id,source_id,location_ids,people_ids,timeframe_id,citation_start,citation_end,citation_date,subjects,excerpt
1,odyssey,,nausithoos,,6.4,10,c. 1200 BCE,Greeks Overseas;Colonization,"\tThe Phaeacians once dwelled in broad Hypereia,\n5\tnear the oppressive Cyclopes,\n\twho kept harassing them and were stronger in force.\n\tThen god-like Nausithoos moved them\n\tand he settled them in Scheria, far from hard-working men.\n\tHe drove a wall around the city and built houses,\n10\tand made temples of the gods and distributed the fields."
2,odyssey,,,,9.116,41,c. 1200 BCE,Greeks Overseas; Colonization,"\tThere is a fertile island stretching outside of the harbor,\n\tneither near the land of the Cyclopes nor far away,\n\tand wooded. Plentiful wild goats live there,\n\tfor there is no footstep of men to ward them off,\n120\tnor do hunters go there, who would suffer pain\n\tpursuing them across the wooded mountain peaks.\n\tNor is it occupied by flocks or plowland,\n\tbut bereft of men, it remains unsown and unplowed\n\tall the time, and nourishes the bleating goats.\n125\tFor there are no red-sided ships among the Cyclopes,\n\tnor ship-building men, who would toil building\n\twell-benched ships, which would complete the journey\n\tto every city of men, just as men generally\n\tcross the sea to visit each other in ships.\n130\tThey would make this a well-tilled island.\n\tIt is not a bad place at all, bearing all crops in season.\n\tOn it there are soft well-watered meadows by the shore\n\tof the grey sea, and there are boundless grape-vines.\n\tThe plow-land is deep, and they would harvest a rich crop\n135\tin every season, since the soil underneath is rich.\n\tIt has a good harbor, where there is no need of a stern-cable,\n\tNor to throw an anchor or fasten ropes, but the sailor\n\tpulling his ship onto land can wait for a time, until\n\this spirit urges him on and the winds blow.\n140\tShining water flows at the head of the harbor,\n\ta spring from a cave, and poplar trees grow around it."
3,works_and_days,helicon;kyme,perses,,633,40,c. 700 BCE,Greeks Overseas;Overseas Travel,"\tJust as my father and yours, great fool Perses,\n\toften sailed here in ships, seeking a good life.\n635\tHe once came here, finishing a long sea voyage,\n\tLeaving Aeolian Kyme in a black ship,\n\tFleeing not possessions and wealth and prosperity,\n\tBut evil poverty, which Zeus gives to men.\n\tHe settled here near Mt. Helicon, in a miserable village,\n640\tAscra, which is bad in winter, troublesome in summer, and good never."
4,mimnermus_fragments,pylos;colophon;smyrna,neleus,,9,9,c. 700 BCE,Greeks Overseas;Colonization,"\tLeaving Pylos, the city of Neleus,\n\twe came by ship to desirable Asia, and\n\twe settled at lovely Colophon by excessive force,\n\tforemost in troublesome hubris.\n5\tFrom there, setting out from the [...] river\n\tBy the will of the gods we captured Aeolian Smyrna."
5,meiggs_lewis,pithecusae,nestor;aphrodite,,1,1,c. 750-700 BCE,Greeks Overseas,"I am the cup of Nestor, good to drink from.\nWhoever drinks from this cup, at once desire\nof beautiful-crowned Aphrodite will seize him."
6,meiggs_lewis,abu_simbel,psamettichus_ii;amasis_ii;potasimto,,7,7,c. 595-589 BCE,Greeks Overseas;Overseas Travel;Contact with Non-Greeks,"When King Psammetichus came to Elephantine, those who sailed with Psammetichus son of\nTheocles wrote this. They went above Kerkis as far as the river allowed. Potasimto commanded\nthose of foreign speech, and Amasis commanded the Egyptians. Archon son of Amoebichus\nwrote this, along with Pelekus son of Oudamus."
7,herodotus_histories,ionia;caria;orchmenos;phocaea;epidaurus,,,1.146,1.146,c. 450-425 BCE,Greeks Overseas;Colonization;Cultural Mixing,"It would be very foolish to say that the Ionians of the Twelve Cities are more Ionian or more noble than other Ionians, since not the smallest part of them are the Abantes from Euboea, who are not Ionians even by name, and Minyans from Orchomenos have been mixed in with them, along with Cadmeans and Dryopians and breakaway Phocians and Molossians and Pelasgians from Arcadia and Dorians from Epidaurus, along with many other ethnicities. [2] Even those of them who set out from the town hall at Athens and think they are the most noble of the Ionians did not bring women with them to the colony but took Carian wives, after murdering their parents."
8,herodotus_histories,phocaea;iberia,psamettichus_ii,,1.163,1.163,c.450-425 BCE,Greeks Overseas;Trade;Contact with Non-Greeks,"The Phocaeans were the first Greeks to make long sea-voyages, and the first to discover th e Adriatic and Tyrrhenian seas, as well as the lands of Iberia and Tartessus. [2] They made these voyages not with merchant ships but with pentekonters.¹ Arriving in Tartessus, they made friends with the king of Tartessus, whose name was Arganthonius. He ruled Tartessus for 80 years, and lived for 120. [3] The Phocaeans became so friendly with him that he offered to let them leave Ionia and settle in his land, wherever they wanted. When they refused, but he learned that Persian power was growing near them, he gave them money to build a wall around the city. [4] He gave generously, since the circuit of the wall is not short, and is built entirely of large and well-fitted stones."
9,herodotus_histories,naucratis;chios;teos;phocaea;clazomenae;rhodes;knidos;halicarnassus;phaselis;mytilene,amasis_ii;zeus;hera,,2.178,79,c.450-425 BCE,Greeks Overseas;Trade;Greek Identity,"178. Amasis, since he was a philhellene, did various other services for some of the Greeks, and especially he gave the city of Naucratis for Greeks arriving in Egypt to settle in, and to those travelers who did not want to live there permanently he gave land on which to establish altars and sanctuaries of the gods. [2] The greatest, most famous, and most visited of these sanctuaries is the so-called Hellenion, which a number of cities established in common: among the Ionians, Chios, Teos, Phocaea, and Clazomenae; among the Dorians, Rhodes, Knidos, Halicarnassus, and Phaselis; and Mytilene along of the Aeolians. [3] This sanctuary belongs to those cities, which also provide the managing officers of the trading port. Separately, the Aeginetans established for themselves a sanctuary of Zeus; the Samians did the same for Hera and the Milesians for Apollo.\n\n179. In older times, Naucratis was the only trading port in Egypt. If someone arrived at one of the other mouths of the Nile, he would have to swear that he did not sail there intentionally, and then sail his ship to the Canopic mouth of the Nile,¹ or if it was not possible to sail due to contrary winds, then he had to bring his cargo around the Nile Delta in smaller boats, until he arrived at Naucratis, since the status of Naucratis was so respected."
10,herodotus_histories,samos;pillars_of_hercules,hera,,4.152,4.152,c.450-425 BCE,Greeks Overseas;Trade;Contact with Non-Greeks,"A Samian ship, owned by Kolaeus, was sailing to Egypt and put in at the island of Platea.¹ [2] Then, eager to get to Egypt, they launched their ship and sailed away, but were driven off course by an east wind, which did not stop blowing until they passed through the Pillars of Heracles² and arrived at Tartessus, with a divine escort. [3] This was an entirely untapped market at this time, with the result that when they returned home, they made the largest profit from their cargo of any Greek I know of with certainty, apart from Sostratus, son of Laodamas, from Aegina; no one can compete with him. [4] The Samians took six talents as a tithe of their profits and had a bronze krater made in the Argive style, with rows of griffin heads around the rim. They dedicated it in the temple of Hera, putting it on a pedestal consisting of three kneeling bronze figures, each seven cubits high."
11,thucydides_histories,amphipolis;athens,brasidas;hagnon,,5.11,5.11,c. 431-397 BCE,Greeks Overseas;Colonization,"All the allies, attending in full armor, gave Brasidas a public funeral, burying him in front of the agora. And for the future, the people of Amphipolis enclosed his tomb within a sacred boundary, and they offer sacrifice to him as a hero and honor him with athletic competitions and annual sacrifices. They declared him to be the founder of the colony, tearing down the monuments of Hagnon, and if any memorial of Hagnon’s foundation survived, they obliterated it. They did this because they considered Brasidas their savior, and since at the time they were cultivating their alliance with Sparta due to fear of Athens, they could no longer enjoyably and advantageously honor Hagnon, being now enemies of Athens."
